"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 07:16:55 GMT 2024","Tue Feb 13 07:16:55 GMT 2024","2","","User verify the Login page: Successfully log into webgains app with valid credentials","","","","",""
"passed","Tue Feb 13 08:13:41 GMT 2024","Tue Feb 13 08:13:44 GMT 2024","2879","","User verify the Login page: Successfully log into webgains app with valid credentials","","","","Then the user should land on the webgains dashboard page",""
"passed","Tue Feb 13 08:13:37 GMT 2024","Tue Feb 13 08:13:44 GMT 2024","7068","","User verify the Login page: Successfully log into webgains app with valid credentials","","","","Given the user launch the webgains application",""
"passed","Tue Feb 13 08:13:42 GMT 2024","Tue Feb 13 08:13:43 GMT 2024","692","","User verify the Login page: Successfully log into webgains app with valid credentials","","","","When the user provide valid email Id and password",""
"passed","Tue Feb 13 08:13:43 GMT 2024","Tue Feb 13 08:13:44 GMT 2024","866","","User verify the Login page: Successfully log into webgains app with valid credentials","","","","And the user click on the login button",""
"passed","Tue Feb 13 08:13:40 GMT 2024","Tue Feb 13 08:13:41 GMT 2024","790","","User verify the Login page: Successfully log into webgains app with valid credentials","","","","When the user provide valid email Id and password",""
"passed","Tue Feb 13 08:13:38 GMT 2024","Tue Feb 13 08:13:47 GMT 2024","8869","","User verify the Login page: Successfully log into webgains app with valid credentials","","","","Given the user launch the webgains application",""
"passed","Tue Feb 13 08:13:44 GMT 2024","Tue Feb 13 08:13:44 GMT 2024","1","","User verify the Login page: Successfully log into webgains app with valid credentials","","","","",""
"passed","Tue Feb 13 08:13:44 GMT 2024","Tue Feb 13 08:13:47 GMT 2024","3130","","User verify the Login page: Successfully log into webgains app with valid credentials","","","","Then the user should land on the webgains dashboard page",""
"passed","Tue Feb 13 08:13:41 GMT 2024","Tue Feb 13 08:13:41 GMT 2024","204","","User verify the Login page: Successfully log into webgains app with valid credentials","","","","And the user click on the login button",""
"passed","Tue Feb 13 07:16:52 GMT 2024","Tue Feb 13 07:16:55 GMT 2024","2944","","User verify the Login page: Successfully log into webgains app with valid credentials","","","","Given the user launch the webgains application",""
"passed","Tue Feb 13 08:13:47 GMT 2024","Tue Feb 13 08:13:47 GMT 2024","1","","User verify the Login page: Successfully log into webgains app with valid credentials","","","","",""
